game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-04-16,PHI,COL,0.6842,1,1,1,7.06,5.0,2.06,0.5315,1,1,1
2024-04-16,BAL,MIN,0.5814,1,1,1,9.84,14.0,-4.16,0.5315,1,1,1
2024-04-16,DET,TEX,0.525,1,1,1,8.94,6.0,2.94,0.3295,0,1,0
2024-04-16,TB,LAA,0.4947,0,1,0,9.25,13.0,-3.75,0.3469,0,0,1
2024-04-17,CWS,KC,0.3657,0,1,0,7.22,3.0,4.22,0.3295,0,0,1
2024-04-17,AZ,CHC,0.5814,1,0,0,9.46,8.0,1.46,0.5315,1,0,0
2024-04-17,SEA,CIN,0.5364,1,1,1,7.04,6.0,1.04,0.3295,0,1,0
2024-04-17,PHI,COL,0.525,1,1,1,7.16,13.0,-5.84,0.5315,1,0,0
2024-04-17,TB,LAA,0.6842,1,0,0,8.16,9.0,-0.84,0.5315,1,0,0
2024-04-17,OAK,STL,0.4951,0,1,0,9.43,9.0,0.43,0.3125,0,1,0
